	headlines	texts	rubrics	links
31	Названа необходимая для российской семьи сумма для жизни	"Обычной семье из трех человек в России нужно 78 тысяч рублей в месяц, чтобы иметь все необходимое, сообщает РИА ""Новости"" со ссылкой на исследование ""Ромира"". Уточняется, что более половины семейных россиян (51%) желают иметь на ""нормальную жизнь"" 60-120 тысяч рублей."	society	https://news.yandex.ru//story/Nazvana_neobkhodimaya_dlya_rossijskoj_semi_summa_dlya_zhizni--c988f6f06b4d2a9e72d6f14cd80e8bcf?lr=47&lang=ru&stid=6Rf27P8OlfIeQ1bVmwvR&persistent_id=63728704&rubric=society&from=rubric
32	Россиянам добавят один день отпуска	Минтруд России готовит поправки в законодательство о предоставлении дополнительного оплачиваемого дня отпуска каждый год для прохождения диспансеризации. Сейчас такой выходной предоставляется раз в три года.	society	https://news.yandex.ru//story/Rossiyanam_dobavyat_odin_den_otpuska--4d929f34e08f046e0582c66a84555236?lr=47&lang=ru&stid=v6mGI50fuewoJliwZIqW&persistent_id=63729651&rubric=society&from=rubric
33	Россияне назвали основными причинами своих болезней работу и стресс	Винят работу и испытываемый стресс в своем состоянии здоровья 33% опрошенных. Еще 28% жалуются на отсутствие денег на лекарства и профилактику болезней. Каждый четвертый опрошенный (25%) назвал основной причиной своих болезней возраст и отсутствие отдыха.	society	https://news.yandex.ru//story/Rossiyane_nazvali_osnovnymi_prichinami_svoikh_boleznej_rabotu_i_stress--6854edc618971c44a0a981a9665a96b1?lr=47&lang=ru&stid=u3bQgt2aUPlbuc75FzyA&persistent_id=63721287&rubric=society&from=rubric
34	Стало известно, где россияне отдыхали на майские праздники	Число российских туристов, которые в период майских праздников 2019 года выезжали на отдых в регионы РФ и за рубеж, выросло на 20% по сравнению аналогичным периодом прошлого года, заявила исполнительный директор Ассоциации туроператоров России (АТОР) Майя Ломидзе.	society	https://news.yandex.ru//story/Stalo_izvestno_gde_rossiyane_otdykhali_na_majskie_prazdniki--19ca398d956cd25ce394dcdecf7a01ed?lr=47&lang=ru&stid=lwJdXLhYbISEiu8RShCu&persistent_id=63780975&rubric=society&from=rubric
35	Конфликт из-за храма в Екатеринбурге. Что важно знать	Как проходят протесты Протесты в Екатеринбурге начались после того, как в ночь на понедельник, 13 мая, в сквере на набережной Рабочей Молодежи в центральной части города огородили пространство для строительства храма.	society	https://news.yandex.ru//story/Konflikt_iz-za_khrama_v_Ekaterinburge._CHto_vazhno_znat--dfc5b993b60f11c3ec0a98a4a56ed3d6?lr=47&lang=ru&stid=1_TX7S-c&persistent_id=63775965&rubric=society&from=rubric
36	Полпред объяснил Куйвашеву, что к людям надо прислушиваться	Полпред президента в УрФО Николай Цуканов сегодня встретился с губернатором Евгением Куйвашевым. Официально обсуждалось проведение саммита GMIS, но речь шла и о том, что к мнению людей надо прислушиваться.	society	https://news.yandex.ru//story/Polpred_obyasnil_Kujvashevu_chto_k_lyudyam_nado_prislushivatsya--49ff139e78791fbe4fbda426e0558d53?lr=47&lang=ru&stid=bZTuVgh9q_LDQcUVHYuE&persistent_id=63765248&rubric=society&from=rubric
37	Житель Франции выиграл в лотерею €21 млн	Неизвестный мужчина, живущий в департаменте Эро на юге Франции, стал победителем пасхальной лотереи Loto. Об этом 16 мая сообщает издание 20 minutes. Выигрыш составил €21 млн (1 517,5 млн рублей).	society	https://news.yandex.ru//story/ZHitel_Francii_vyigral_v_lotereyu_21_mln--13a9692ba049a9dcc0b8fbfa405f9c59?lr=47&lang=ru&stid=FPWBufAKSdWiOMGH37FW&persistent_id=63771476&rubric=society&from=rubric
38	Обвиняемый в убийствах сенатор Арашуков захотел поменять законы СИЗО	Временно отстраненный от должности сенатор Рауф Арашуков, обвиняемый в убийствах, пожаловался на отсутствие в СИЗО «Лефортово» халяльного питания. Об этом член Общественной наблюдательной комиссии Александр Ионов рассказал «Известиям».	society	https://news.yandex.ru//story/Obvinyaemyj_v_ubijstvakh_senator_Arashukov_zakhotel_pomenyat_zakony_SIZO--a3a37a89bc9d0b9f49ab90537eae3eef?lr=47&lang=ru&stid=c4map1Zw1fAZxFdnRSJm&persistent_id=63696024&rubric=society&from=rubric
39	Врач дал рекомендации москвичам, страдающим гипертонией	Врач-кардиолог поликлиники № 180 столичного департамента здравоохранения Николай Серебряков дал рекомендации горожанам, страдающим артериальной гипертонией. Они направлены на предупреждение прогрессирования болезни.	society	https://news.yandex.ru//story/Vrach_dal_rekomendacii_moskvicham_stradayushhim_gipertoniej--651663ff9b201f4f88248bd883a5a174?lr=47&lang=ru&stid=2AXS38NETVpwU119yipv&persistent_id=63741947&rubric=society&from=rubric
40	На территории Музея имени Андрея Рублева нашли клад XV–XVI веков	"""Четыре древнерусские монеты XV – XVI веков обнаружили столичные археологи в Музее древнерусской культуры и искусства имени Андрея Рублева во время работ по благоустройству территории бывшего Спасо-Андроникова (Андроникова) монастыря"", - сообщается в нем. Это мелкие разменные медные монеты, а также серебряная деньга."	society	https://news.yandex.ru//story/Na_territorii_Muzeya_imeni_Andreya_Rubleva_nashli_klad_XVXVI_vekov--8f0bbbf7a0c9cf7650a27d384dae99d4?lr=47&lang=ru&stid=lhZxHoaum6tityN2O6HI&persistent_id=63736226&rubric=society&from=rubric
41	На компьютерных играх в РФ появится возрастная маркировка	Совет Федерации разработал законопроект, распространяющий на компьютерные игры действие закона о защите детей от информации, причиняющей вред их здоровью и развитию, сообщила один из авторов законопроекта, первый зампред комитета Совета Федерации по конституционному законодательству и госстроительству Людмила Бокова.	society	https://news.yandex.ru//story/Na_kompyuternykh_igrakh_v_RF_poyavitsya_vozrastnaya_markirovka--2a45009b1fe5570244e2bc587d501959?lr=47&lang=ru&stid=kAMRRRiykhiS-yLbp1Mr&persistent_id=63777709&rubric=society&from=rubric
42	Умерла главный дерматовенеролог России Анна Кубанова	"Скончалась доктор медицинских наук, профессор, главный внештатный специалист Минздрава России по дерматовенерологии и косметологии, академик РАМН и действительный член РАН Анна Кубанова. Директору ФГБУ ""Государственный научный центр дерматовенерологии и косметологии"" было 70 лет."	society	https://news.yandex.ru//story/Umerla_glavnyj_dermatovenerolog_Rossii_Anna_Kubanova--9d51c80f9e4f7b10cafa7c0027dd7b38?lr=47&lang=ru&stid=ppQoQ7MMJvnJd8HcBlRU&persistent_id=63754563&rubric=society&from=rubric
43	В Уфе прощаются с вице-премьером Башкирии Артуром Ахметхановым	Сегодня, 16 мая, в столице Башкирии прощаются вице-премьером Башкирии Артуром Ахметхановым. На похороны 57-летнего Артура Ахметханова пришли уже более тысячи человек. Артура Фарвазовича похоронят на Мусульманском кладбище Уфы.	society	https://news.yandex.ru//story/V_Ufe_proshhayutsya_s_vice-premerom_Bashkirii_Arturom_Akhmetkhanovym--2e6bfb021a0710f2cfc9fdd2be607cc4?lr=47&lang=ru&stid=UaCZMr89XDAV3fkIXoXO&persistent_id=63770526&rubric=society&from=rubric
44	Ройзман: «Губернатор расплатился сквером за храм»	Губернатор за какие-то личные услуги рассчитался за храм [сквером] и должен сейчас это остановить. Вообще ничего нельзя строить в скверах.	society	https://news.yandex.ru//story/Rojzman_Gubernator_rasplatilsya_skverom_za_khram--c7d792dff3333aab6e7d28abab96e6b5?lr=47&lang=ru&stid=G2qWSbe_APMp40HFVu5Z&persistent_id=63750079&rubric=society&from=rubric
45	Курс евро опустился ниже 72 рублей	В последний раз курс евро находился ниже 72 рублей 29 апреля текущего года. Курс доллара по состоянию на 17:48 мск опустился на 0,38%, до 64,4 рубля. Рубль укрепляется на фоне роста цены нефти.	business	https://news.yandex.ru//story/Kurs_evro_opustilsya_nizhe_72_rublej--662cd73985bfbf550ca9e95ad5dbfb36?lr=47&lang=ru&stid=rpJU61K0TsH8h8y9qtvK&persistent_id=63783636&rubric=business&from=rubric
46	Чистый вывоз капитала из РФ в январе-апреле увеличился почти вдвое	Чистый вывоз капитала частным сектором из России в январе-апреле 2019 года, по предварительной оценке, составил $34,7 млрд, что в 1,9 раза превышает показатель аналогичного периода 2018 года ($18,5 млрд), следует из информации на сайте ЦБ РФ.	business	https://news.yandex.ru//story/CHistyj_vyvoz_kapitala_iz_RF_v_yanvare-aprele_uvelichilsya_pochti_vdvoe--bb91f1682c4316278c59cbc18dc24763?lr=47&lang=ru&stid=BihZibDGpbH76X1NhZow&persistent_id=63777142&rubric=business&from=rubric
47	Большинство российских семей оказались вообще без сбережений	Почему россияне не сберегают Главная причина отсутствия сбережений у большинства российских семей — низкий уровень доходов, уверен главный экономист БКС Владимир Тихомиров.	business	https://news.yandex.ru//story/Bolshinstvo_rossijskikh_semej_okazalis_voobshhe_bez_sberezhenij--080965fd7fbab3c1ffc2d39d46e936a9?lr=47&lang=ru&stid=7igps4Z3Fi2tgwlrNlB4&persistent_id=63735884&rubric=business&from=rubric
48	Еврокомиссия оштрафовала банки ЕС на €1 млрд за картельный сговор	Еврокомиссия (ЕК) оштрафовала банки Евросоюза (ЕС) Barclays, RBS, Citigroup, JPMorgan и MUFG за картельный сговор на валютном рынке. Сумма штрафов составила €1,07 млрд. По данным ЕК, банки создали два картеля на спотовом валютном рынке для работы с 11 валютами.	business	https://news.yandex.ru//story/Evrokomissiya_oshtrafovala_banki_ES_na_1_mlrd_za_kartelnyj_sgovor--d09479e252758807fc5b60950ab2ca89?lr=47&lang=ru&stid=5nphcUylQh_6H0w5OHVP&persistent_id=63762137&rubric=business&from=rubric
49	ЦБ сообщил о росте ставок по рублевым вкладам в топ-10 банков России	Средняя максимальная процентная ставка по рублевым вкладам в 10 самых крупных банках России, привлекающих наибольший объем депозитов, в первой декаде мая 2019 года выросла до 7,52%. Об этом в четверг, 16 мая, сообщает ТАСС со ссылкой на материалы Банка России.	business	https://news.yandex.ru//story/CB_soobshhil_o_roste_stavok_po_rublevym_vkladam_v_top-10_bankov_Rossii--543ea5345591a96745681a61cffbb074?lr=47&lang=ru&stid=16wtS_nKyCupV0cRlFRi&persistent_id=63772422&rubric=business&from=rubric
50	B.Braun вложит 3 млрд рублей в медицинское производство в Твери	На новом производстве наладят выпуск медицинских изделий, шовных материалов, ортопедических имплантов, средств дезинфекции. Инвестиции в проект составят 3 млрд рублей, налоговые поступления - 86 млн рублей в год, также на предприятии будет создано 300 рабочих мест.	business	https://news.yandex.ru//story/B.Braun_vlozhit_3_mlrd_rublej_v_medicinskoe_proizvodstvo_v_Tveri--e218bb933ab575a8ed1c4d06b1cacc6b?lr=47&lang=ru&stid=cdXN5SOp&persistent_id=63780979&rubric=business&from=rubric
51	Чистая прибыль МОЭК по МСФО за I квартал снизилась на 7,7%, до 8,4 млрд руб	"Чистая прибыль ""Московской объединенной энергетической компании"" (входит в ""Газпром энергохолдинг"") по МСФО за первый квартал текущего года уменьшилась по сравнению с соответствующим периодом прошлого года на 7,7% и составила 8,42 миллиарда рублей, говорится в отчете компании."	business	https://news.yandex.ru//story/CHistaya_pribyl_MOEHK_po_MSFO_za_I_kvartal_snizilas_na_77_do_84_mlrd_rub--51c2421f1c6152eb110ffb9dbaf85821?lr=47&lang=ru&stid=mG17&persistent_id=63779322&rubric=business&from=rubric
52	Губернатор Приангарья анонсировал полномасштабную индустриализацию	Глава региона анонсировал государственный план полномасштабной индустриализации на 2019-2023 годы.	business	https://news.yandex.ru//story/Gubernator_Priangarya_anonsiroval_polnomasshtabnuyu_industrializaciyu--26afab0720bf3029ed252b7a3aca00e4?lr=47&lang=ru&stid=J2SJj9OStdX_jb6tvPVl&persistent_id=63737822&rubric=business&from=rubric
53	«Финам»: стоимость акций Horizon Therapeutics может вырасти на 14%	"Аналитики ""Финама"" рекомендуют инвесторам покупать акции биофармацевтической компании Horizon Therapeutics, ожидая роста их стоимости на 14,1%."	business	https://news.yandex.ru//story/Finam_stoimost_akcij_Horizon_Therapeutics_mozhet_vyrasti_na_14--d64746150550563c9eef7708f35d61dc?lr=47&lang=ru&stid=aBB4&persistent_id=63767248&rubric=business&from=rubric
54	Число сделок на вторичном рынке жилья в Москве в апреле выросло на 13%	Отмечается, что всего с января по апрель 2019 года число сделок на вторичном рынке жилья возросло в полтора раза. По данным пресс-службы, похожая динамика наблюдалась в 2018 году, - тогда за первые четыре меcяца рост составил также полтора раза: 12,9 тыс. в апреле против 8,3 тыс. в январе.	business	https://news.yandex.ru//story/CHislo_sdelok_na_vtorichnom_rynke_zhilya_v_Moskve_v_aprele_vyroslo_na_13--99928d231fe32ce9331efb7e18ce20f0?lr=47&lang=ru&stid=6uUaucOCRhfiseNKP66m&persistent_id=63747492&rubric=business&from=rubric
